interest_coding	interest_design	interest_science	interest_art	interest_cooking	interest_travel	interest_business	math_skill	creativity	communication	introvert_extrovert	problem_solving	interest_technology	interest_writing	interest_music	interest_helping_others	leadership	attention_to_detail	physical_stamina	career
5	2	4	1	1	1	3	5	3	2	1	5	5	2	1	1	2	4	1	Software Engineer
5	1	5	1	1	1	3	5	3	2	1	5	5	1	1	1	2	4	1	Data Scientist
5	2	4	1	1	1	4	5	3	3	2	5	5	2	1	1	3	5	1	Data Analyst
5	2	5	1	1	1	3	5	4	2	1	5	5	2	1	1	2	4	1	AI Engineer
5	1	5	1	1	1	3	5	4	2	1	5	5	1	1	1	2	4	1	Machine Learning Engineer
4	1	4	1	1	1	3	4	3	2	2	5	5	2	1	1	2	5	2	Cybersecurity Analyst
4	1	3	1	1	1	3	4	2	3	2	5	5	1	1	1	2	4	1	System Administrator
4	1	4	1	1	1	2	4	2	2	2	5	5	1	1	1	2	4	1	Network Engineer
5	2	4	1	1	1	3	5	3	2	1	5	5	1	1	1	3	4	1	Cloud Architect
5	1	4	1	1	1	3	5	3	2	1	5	5	1	1	1	2	4	1	DevOps Engineer
5	3	3	3	1	1	2	4	5	2	1	5	5	2	2	1	2	3	1	Game Developer
5	3	3	2	1	1	3	4	4	2	1	5	5	2	1	1	2	3	1	Mobile App Developer
5	4	3	3	1	1	3	4	4	2	1	4	5	2	1	1	2	3	1	Web Developer
4	1	5	1	1	1	2	5	2	2	1	5	5	1	1	1	2	5	1	Embedded Systems Engineer
3	1	5	1	1	1	2	5	2	2	1	5	5	1	1	1	2	5	2	Hardware Engineer
4	2	5	1	1	1	2	5	3	2	1	5	5	1	1	1	2	5	2	Robotics Engineer
3	1	4	1	1	1	2	4	2	2	2	4	5	1	1	1	2	4	1	Telecommunications Engineer
4	2	5	1	1	1	2	5	3	2	1	5	5	1	1	1	2	5	2	Mechatronics Engineer
4	1	5	1	1	1	2	5	2	2	1	5	5	1	1	1	2	5	1	Control Systems Engineer
5	1	5	1	1	1	2	5	4	2	1	5	5	2	1	1	1	5	1	Quantum Computing Researcher
5	1	4	1	1	1	4	5	3	2	1	5	5	1	1	1	2	4	1	Blockchain Developer
5	4	3	4	1	1	3	4	5	2	1	5	5	2	1	1	2	3	1	AR/VR Developer
4	1	3	1	1	1	3	4	2	2	1	5	5	1	1	1	2	5	1	Database Administrator
4	2	3	1	1	2	4	4	3	4	3	4	5	2	1	2	4	3	1	IT Consultant
3	2	3	2	1	2	3	3	3	4	2	3	4	5	1	2	2	4	1	Technical Writer
3	2	3	1	1	2	5	4	3	5	4	5	4	3	1	2	4	4	1	Business Analyst
3	1	3	1	1	2	5	4	3	4	3	5	4	2	1	2	4	5	1	Operations Analyst
3	1	4	1	1	1	4	5	3	4	2	5	4	2	1	2	3	5	1	Risk Analyst
3	2	3	1	1	2	5	4	4	4	3	5	4	3	1	2	4	4	1	Strategy Analyst
4	1	5	1	1	1	4	5	3	2	1	5	4	1	1	1	2	5	1	Quantitative Analyst
3	1	5	1	1	1	4	5	2	3	2	5	3	1	1	1	2	5	1	Actuarial Analyst
3	1	3	1	1	3	5	4	3	4	3	5	4	2	1	2	4	4	2	Supply Chain Analyst
2	1	3	1	1	2	4	4	3	5	3	4	3	4	1	3	4	4	1	Policy Analyst
3	2	3	1	1	2	5	4	3	5	3	4	4	3	1	2	3	4	1	Market Research Analyst
2	1	3	1	1	1	4	4	2	4	2	4	3	3	1	2	3	5	1	Compliance Officer
3	1	4	1	1	1	5	5	3	4	2	5	4	2	1	1	3	5	1	Financial Analyst
3	1	4	1	1	2	5	5	3	4	2	5	4	2	1	1	3	5	1	Investment Analyst
3	1	4	1	1	1	5	5	2	4	2	5	3	2	1	1	3	5	1	Credit Analyst
2	1	5	1	1	1	2	5	3	2	1	5	4	2	1	1	1	5	1	Physicist
2	1	5	1	1	1	2	5	2	2	1	5	3	1	1	1	1	5	2	Chemist
1	1	5	1	1	2	2	4	2	2	2	4	3	2	1	3	1	4	2	Biologist
2	1	5	1	1	1	2	5	2	2	1	5	3	1	1	2	1	5	2	Microbiologist
2	1	5	1	1	1	2	5	3	2	1	5	3	2	1	2	1	5	1	Geneticist
2	1	5	1	1	1	2	5	3	2	1	5	4	2	1	3	1	5	1	Neuroscientist
2	1	5	1	1	2	3	5	2	3	2	5	3	2	1	4	2	5	2	Epidemiologist
2	1	5	1	1	1	2	5	2	2	1	5	4	1	1	3	1	5	2	Biomedical Scientist
2	1	5	1	1	2	1	5	3	2	1	5	4	2	1	1	1	5	1	Astronomer
2	2	5	2	1	4	3	4	3	3	2	4	3	3	1	4	2	4	3	Environmental Scientist
1	1	5	1	1	4	2	4	2	2	2	4	3	2	1	2	1	4	4	Geologist
1	1	5	1	1	4	2	4	2	2	2	4	3	2	1	3	1	4	4	Oceanographer
